"team","team_zh","group","head_coach","head_coach_zh","assistant_coaches","assistant_status","fifa_rank_nov_2025","fifa_rank_june_2026","strength_rating","rating_basis","host"
"Sweden","瑞典","F","Graham Potter","格雷厄姆·波特","Assistant coach: Björn Hamberg; Assistant coach: Sebastian Larsson; Goalkeeping coach: Maths Elfvendal; Goalkeeping coach: Linus Kandolin; Set-piece coach: Andreas Georgson","secondary_source_requires_federation_confirmation","43","38","1673","fifa_rank_june_2026_monotonic_transform_v1","false"
"Tunisia","突尼斯","F","Sabri Lamouchi","萨布里·拉穆希","Assistant coach: Wahbi Khazri","secondary_source_requires_federation_confirmation","40","45","1620","fifa_rank_june_2026_monotonic_transform_v1","false"
"Belgium","比利时","G","Rudi Garcia","鲁迪·加西亚","Assistant coaches: Stéphane Jobard","secondary_source_requires_federation_confirmation","8","9","1890","fifa_rank_june_2026_monotonic_transform_v1","false"
"Egypt","埃及","G","Hossam Hassan","霍萨姆·哈桑","Assistant coach: Mohamed Abdel Wahed; General coach: Tarek Soliman; Goalkeeper coach: Saafan El-Sagheer","secondary_source_requires_federation_confirmation","34","29","1740","fifa_rank_june_2026_monotonic_transform_v1","false"
"Iran","伊朗","G","Amir Ghalenoei","阿米尔·加莱诺伊","Assistant Coach(es): Rahman Rezaei; Goalkeeping Coach: Alin Dincă; Fitness Coach: Ali Asghar Ghorbanalipour","secondary_source_requires_federation_confirmation","20","20","1808","fifa_rank_june_2026_monotonic_transform_v1","false"
"New Zealand","新西兰","G","Darren Bazeley","达伦·贝兹利","Assistant coach: Simon Elliott; Assistant coach: Glen Moss; Assistant coach: Tony Readings; Goalkeeping coach: Jonathan Gould","secondary_source_requires_federation_confirmation","86","85","1350","fifa_rank_june_2026_monotonic_transform_v1","false"
"Spain","西班牙","H","Luis de la Fuente","路易斯·德拉富恩特","Assistant coach: Juanjo González","secondary_source_requires_federation_confirmation","1","2","1943","fifa_rank_june_2026_monotonic_transform_v1","false"
"Cabo Verde","佛得角","H","Bubista","布比斯塔","","not_publicly_listed_as_of_2026-06-18","68","67","1455","fifa_rank_june_2026_monotonic_transform_v1","false"
"Saudi Arabia","沙特阿拉伯","H","Georgios Donis","乔治斯·多尼斯","Technical coach: Osama Hawsawi","secondary_source_requires_federation_confirmation","60","61","1500","fifa_rank_june_2026_monotonic_transform_v1","false"
"Uruguay","乌拉圭","H","Marcelo Bielsa","马塞洛·贝尔萨","Assistant coach: Pablo Quiroga; Assistant coach: Diego Reyes; Assistant coach: Diego Bermúdez; Goalkeeping coach: Enzo Ferrari","secondary_source_requires_federation_confirmation","16","16","1838","fifa_rank_june_2026_monotonic_transform_v1","false"
"France","法国","I","Didier Deschamps","迪迪埃·德尚","Assistant coach: Guy Stéphan","secondary_source_requires_federation_confirmation","3","3","1935","fifa_rank_june_2026_monotonic_transform_v1","false"
"Senegal","塞内加尔","I","Pape Thiaw","帕普·蒂奥","Assistant coach: Pape Ibrahim Ndiaye; Assistant coach: Alsény Thiam; Goalkeeping coach: Boubacarr Mbodj","secondary_source_requires_federation_confirmation","19","15","1845","fifa_rank_june_2026_monotonic_transform_v1","false"
"Norway","挪威","I","Ståle Solbakken","斯托勒·索尔巴肯","Assistant coach: Kent Bergersen","secondary_source_requires_federation_confirmation","29","31","1725","fifa_rank_june_2026_monotonic_transform_v1","false"
"Iraq","伊拉克","I","Graham Arnold","格雷厄姆·阿诺德","Assistant Coach: Robert Stanton; Goalkeeping Coach: Zeljko Kalac","secondary_source_requires_federation_confirmation","58","57","1530","fifa_rank_june_2026_monotonic_transform_v1","false"
"Argentina","阿根廷","J","Lionel Scaloni","利昂内尔·斯卡洛尼","Assistant coach: Pablo Aimar; Assistant coach: Walter Samuel; Assistant coach: Roberto Ayala","secondary_source_requires_federation_confirmation","2","1","1950","fifa_rank_june_2026_monotonic_transform_v1","false"
"Algeria","阿尔及利亚","J","Vladimir Petković","弗拉基米尔·佩特科维奇","Assistant coach: Davide Morandi; Assistant coach: Nabil Neghiz; Goalkeeping coach: Merouane Messai; Goalkeeping coach: Nacereddine Berarma","secondary_source_requires_federation_confirmation","35","28","1748","fifa_rank_june_2026_monotonic_transform_v1","false"
"Austria","奥地利","J","Ralf Rangnick","拉尔夫·朗尼克","Assistant coaches: Onur Cinel; Goalkeeping coach: Michael Gspurning","secondary_source_requires_federation_confirmation","24","24","1778","fifa_rank_june_2026_monotonic_transform_v1","false"
"Jordan","约旦","J","Jamal Sellami","贾迈勒·塞拉米","Assistant coach: Mustapha Khalfi; Assistant coach: Omar Najhi; Goalkeeping coach: Ibrahim Ayed","secondary_source_requires_federation_confirmation","66","63","1485","fifa_rank_june_2026_monotonic_transform_v1","false"
"Portugal","葡萄牙","K","Roberto Martínez","罗伯托·马丁内斯","Assistant coaches: Ricardo Carvalho","secondary_source_requires_federation_confirmation","6","5","1920","fifa_rank_june_2026_monotonic_transform_v1","false"
"DR Congo","刚果民主共和国","K","Sébastien Desabre","塞巴斯蒂安·德萨布尔","Assistant coach: Rafael Hamidi Cuadros; Goalkeeping coach: Robert Kidiaba","secondary_source_requires_federation_confirmation","56","46","1613","fifa_rank_june_2026_monotonic_transform_v1","false"
"Uzbekistan","乌兹别克斯坦","K","Fabio Cannavaro","法比奥·卡纳瓦罗","Assistant coaches: Paolo Cannavaro; Goalkeeper coach: Antonio Chimenti","secondary_source_requires_federation_confirmation","50","50","1583","fifa_rank_june_2026_monotonic_transform_v1","false"
"Colombia","哥伦比亚","K","Néstor Lorenzo","内斯托尔·洛伦索","Assistant coaches: Luis Amaranto Perea; Goalkeeping coach: Alejandro Otamendi; Fitness coaches: Leandro Clocchiatti","secondary_source_requires_federation_confirmation","13","13","1860","fifa_rank_june_2026_monotonic_transform_v1","false"
"England","英格兰","L","Thomas Tuchel","托马斯·图赫尔","Goalkeeping coach: Henrique Hilário; Coach: Justin Cochrane","secondary_source_requires_federation_confirmation","4","4","1928","fifa_rank_june_2026_monotonic_transform_v1","false"
"Croatia","克罗地亚","L","Zlatko Dalić","兹拉特科·达利奇","Assistant coach: Vedran Ćorluka; Goalkeeping coach: Marjan Mrmić; Goalkeeping coach: Danijel Subašić","secondary_source_requires_federation_confirmation","10","11","1875","fifa_rank_june_2026_monotonic_transform_v1","false"
"Ghana","加纳","L","Carlos Queiroz","卡洛斯·奎罗斯","Assistant coach: Roger De Sá; Assistant coach: John Paintsil; Goalkeeping coach: Daniel Gaspar; Assistant goalkeeping coach: Fatau Dauda","secondary_source_requires_federation_confirmation","72","73","1410","fifa_rank_june_2026_monotonic_transform_v1","false"
"Panama","巴拿马","L","Thomas Christiansen","托马斯·克里斯蒂安森","Assistant coach: Francisco Javier Sánchez Jara; Assistant coach: Jorge Dely Valdés; Goalkeeping coach: Donaldo González","secondary_source_requires_federation_confirmation","30","34","1703","fifa_rank_june_2026_monotonic_transform_v1","false"
